sector_name,period,coral_cover,mean_change,order,n_reefs
Cape Grenville,Before,41.95,-6.03,1,23
Cape Grenville,After,35.92,-6.03,1,23
Princess Charlotte Bay,Before,27.95,-1.49,2,20
Princess Charlotte Bay,After,26.47,-1.49,2,20
Cooktown-Lizard,Before,21.79,6.84,3,43
Cooktown-Lizard,After,28.63,6.84,3,43
Cairns,Before,20.5,2.3,4,37
Cairns,After,22.8,2.3,4,37
Innisfail,Before,15.89,-0.62,5,19
Innisfail,After,15.27,-0.62,5,19
Townsville,Before,24.75,0.66,6,28
Townsville,After,25.42,0.66,6,28
Cape Upstart,Before,17.14,11.42,7,15
Cape Upstart,After,28.56,11.42,7,15
Whitsunday,Before,34.4,-4.22,8,13
Whitsunday,After,30.18,-4.22,8,13
Pompey,Before,31.64,0.28,9,25
Pompey,After,31.92,0.28,9,25
Swain,Before,28.66,-1.42,10,23
Swain,After,27.24,-1.42,10,23
Capricorn-Bunker,Before,51.6,-0.1,11,11
Capricorn-Bunker,After,51.49,-0.1,11,11
